customer_id,signup_date,last_active_date,monthly_spend,total_orders,support_tickets,plan_type,region,satisfaction_score,churned
C-50000,2023-09-11,2025-06-30,28.89,70,1,Basic,Europe,7.0,False
C-50001,2024-08-01,2025-06-30,79.15,85,1,Pro,North America,8.0,False
C-50002,2024-05-31,2024-11-26,87.36,10,1,Pro,Asia Pacific,7.0,False
C-50003,2024-04-09,2024-07-15,25.7,5,2,Basic,North America,7.0,False
C-50004,2022-06-10,2023-04-18,30.16,18,1,Basic,Asia Pacific,5.0,True
C-50005,2024-05-16,2025-04-13,30.48,17,3,Basic,Asia Pacific,8.0,False
C-50006,2022-06-19,2022-08-24,63.36,6,1,Pro,Asia Pacific,5.0,False
C-50007,2024-02-21,2024-10-17,17.3,18,2,Basic,Latin America,7.0,False
C-50008,2023-03-01,2024-10-07,31.91,29,3,Basic,Latin America,8.0,False
C-50009,2024-08-09,2025-06-30,26.61,57,0,Basic,Latin America,7.0,False
C-50010,2023-08-16,2024-02-22,32.42,13,3,Basic,Latin America,8.0,True
C-50011,2024-07-11,2024-09-24,34.96,4,1,Basic,Europe,6.0,False
C-50012,2022-11-12,2023-01-08,21.21,2,2,Basic,Europe,9.0,False
C-50013,2022-11-25,2024-04-16,33.07,31,0,Basic,Latin America,6.0,False
C-50014,2024-09-25,2025-06-30,21.4,39,2,Basic,Asia Pacific,4.0,True
C-50015,2022-10-11,2023-12-16,30.76,36,2,Basic,Asia Pacific,5.0,False
C-50016,2022-10-24,2024-02-05,33.64,28,2,Basic,Latin America,4.0,False
C-50017,2023-09-03,2025-04-17,78.44,37,1,Pro,Asia Pacific,5.0,False
C-50018,2024-09-04,2025-06-30,24.78,34,2,Basic,Latin America,5.0,False
C-50019,2022-09-09,2022-10-13,23.69,0,0,Basic,Latin America,9.0,False
C-50020,2024-02-23,2024-04-21,19.79,3,2,Basic,North America,6.0,False
C-50021,2024-04-23,2025-04-03,72.38,14,0,Pro,Asia Pacific,6.0,False
C-50022,2023-05-22,2024-07-31,102.78,26,1,Pro,Latin America,10.0,False
C-50023,2022-12-23,2023-04-19,99.63,10,1,Pro,Latin America,4.0,False
C-50024,2023-12-15,2025-02-23,44.08,28,1,Pro,Asia Pacific,8.0,False
C-50025,2024-06-18,2025-06-30,70.22,25,2,Pro,North America,7.0,False
C-50026,2023-09-30,2024-04-14,,13,1,Enterprise,Asia Pacific,7.0,False
C-50027,2024-09-08,2025-06-30,28.25,37,3,Basic,Latin America,7.0,False
C-50028,2022-08-25,2023-01-31,74.65,8,1,Pro,Latin America,6.0,False
C-50029,2022-11-21,2023-10-06,27.33,22,0,Basic,Latin America,5.0,False
C-50030,2022-07-15,2022-10-03,155.83,9,1,Enterprise,North America,6.0,False
C-50031,2022-09-23,2024-06-13,100.36,54,1,Pro,Latin America,6.0,True
C-50032,2024-01-29,2024-12-11,60.15,13,3,Pro,Europe,8.0,False
C-50033,2023-10-08,2024-01-01,77.03,3,1,Pro,Asia Pacific,6.0,True
C-50034,2022-10-22,2025-04-03,83.1,56,4,Pro,Europe,6.0,False
C-50035,2024-07-29,2024-10-29,25.19,12,1,Basic,Latin America,7.0,False
C-50036,2022-06-06,2022-09-09,24.12,3,1,Basic,North America,5.0,False
C-50037,2023-07-21,2023-11-30,25.56,9,0,Basic,Latin America,8.0,False
C-50038,2024-03-12,2024-11-25,28.52,9,3,Basic,Latin America,6.0,False
