order_id,order_date,customer_id,region,category,product_name,quantity,unit_price,revenue,cost,profit,discount_pct,payment_method,customer_segment
ORD-10000,2024-04-12,CUST-3288,East,Clothing,Jeans,1,10.11,,6.78,3.33,15.0,Bank Transfer,Consumer
ORD-10001,2025-03-11,CUST-1990,East,Clothing,Dress,2,26.94,53.87,27.53,26.34,5.0,Credit Card,Consumer
ORD-10002,2024-09-27,CUST-2721,South,Clothing,Dress,2,31.94,63.88,42.84,21.04,0.0,Bank Transfer,Consumer
ORD-10003,2024-04-16,CUST-2859,West,Electronics,Tablet,4,269.42,1077.67,623.26,454.41,0.0,Bank Transfer,Business
ORD-10004,2024-03-12,CUST-2701,East,Home & Garden,Curtains,5,56.07,280.34,142.09,138.25,5.0,Debit Card,Consumer
ORD-10005,2024-01-21,CUST-2683,West,Home & Garden,Tool Set,1,89.98,89.98,40.26,49.72,,Debit Card,Consumer
ORD-10006,2024-05-01,CUST-2096,North,Electronics,Camera,1,186.13,186.13,82.4,103.73,0.0,Credit Card,Business
ORD-10007,2025-04-11,CUST-3844,South,Sports,Dumbbell,1,82.38,82.38,39.38,43.0,0.0,Bank Transfer,Consumer
ORD-10008,2024-08-02,CUST-2639,East,Electronics,Camera,1,277.85,277.85,114.95,162.9,0.0,Credit Card,Consumer
ORD-10009,2024-11-26,CUST-3369,West,Home & Garden,Tool Set,9,54.18,731.47,343.14,388.33,0.0,PayPal,Business
ORD-10010,2025-04-03,CUST-1649,South,Electronics,Camera,2,205.43,410.87,167.04,243.83,10.0,PayPal,Consumer
ORD-10011,2024-03-28,CUST-2486,North,Electronics,Camera,1,141.93,141.93,,68.14,0.0,Credit Card,Consumer
ORD-10012,2025-01-07,CUST-1325,South,Electronics,Tablet,1,346.0,346.0,144.27,201.73,15.0,Bank Transfer,Consumer
ORD-10013,2024-04-09,CUST-1939,South,Clothing,Sneakers,3,43.12,129.35,61.63,67.72,0.0,PayPal,Consumer
ORD-10014,2024-05-10,CUST-3535,West,Home & Garden,Curtains,3,15.14,45.41,25.92,19.49,20.0,Bank Transfer,Consumer
ORD-10015,2024-11-04,CUST-1649,East,Clothing,Dress,1,39.31,58.97,38.65,20.32,0.0,Debit Card,Business
